Identifiant_de_l_etablissement;Statut_public_prive;Type_contrat_prive;Code_type_contrat_prive
0673178R;Public;SANS OBJET;99
0673221M;Privé;HORS CONTRAT;10
0681862E;Public;SANS OBJET;99
0681878X;Public;SANS OBJET;99
0690636S;Privé;HORS CONTRAT;10
0693200D;Public;SANS OBJET;99
0693770Y;Public;SANS OBJET;99
0694385S;Privé;HORS CONTRAT;10
0720028P;Public;SANS OBJET;99
0720049M;Public;SANS OBJET;99
0741709F;Privé;HORS CONTRAT;10
0741814V;Privé;HORS CONTRAT;10
0752124B;Privé;HORS CONTRAT;10
0752803P;Privé;HORS CONTRAT;10
0752877V;Privé;HORS CONTRAT;10
0753911U;Privé;HORS CONTRAT;10
0754101A;Privé;HORS CONTRAT;10
0754242D;Privé;HORS CONTRAT;10
0754873P;Public;SANS OBJET;99
0754879W;Public;SANS OBJET;99
0754921S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0755261L;Privé;HORS CONTRAT;10
0755278E;Privé;HORS CONTRAT;10
0755367B;Privé;HORS CONTRAT;10
0755904K;Privé;HORS CONTRAT;10
