Identifiant_de_l_etablissement;Statut_public_prive;Type_contrat_prive;Code_type_contrat_prive
0770944H;Public;SANS OBJET;99
0560858D;Privé;SANS OBJET;99
0271382F;Privé;SANS OBJET;99
0911632E;Public;SANS OBJET;99
0754015G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0310040A;Public;SANS OBJET;99
0772295B;Public;SANS OBJET;99
0751708Z;Public;SANS OBJET;99
0441789F;Privé;SANS OBJET;99
0860820Z;Public;SANS OBJET;99
0431000D;Privé;SANS OBJET;99
0010819K;Public;SANS OBJET;99
0441032H;Privé;SANS OBJET;99
0650138X;Public;SANS OBJET;99
9840387Y;Public;SANS OBJET;99
9870001M;Public;SANS OBJET;99
0382376B;Privé;SANS OBJET;99
0460661U;Public;SANS OBJET;99
0291574D;Privé;SANS OBJET;99
0810833R;Privé;SANS OBJET;99
0861122C;Privé;SANS OBJET;99
0530815Y;Privé;SANS OBJET;99
0730813M;Public;SANS OBJET;99
0760032X;Public;SANS OBJET;99
0750647W;Public;SANS OBJET;99
0750658H;Public;SANS OBJET;99
0261265J;Privé;SANS OBJET;99
0881452A;Privé;SANS OBJET;99
0190244M;Public;SANS OBJET;99
0441788E;Privé;SANS OBJET;99
0280967Z;Privé;SANS OBJET;99
0801335S;Public;SANS OBJET;99
0120867C;Privé;SANS OBJET;99
0741689J;Privé;SANS OBJET;99
0430113P;Public;SANS OBJET;99
0640220S;Public;SANS OBJET;99
0470821M;Privé;SANS OBJET;99
0520741Y;Public;SANS OBJET;99
0331424U;Public;SANS OBJET;99
0331740M;Public;SANS OBJET;99
0031047X;Public;SANS OBJET;99
0133005W;Privé;SANS OBJET;99
0530081A;Public;SANS OBJET;99
0820559M;Public;SANS OBJET;99
0351962T;Privé;SANS OBJET;99
0623276Z;Privé;SANS OBJET;99
0211504W;Privé;SANS OBJET;99
0711068A;Public;SANS OBJET;99
0890849P;Public;SANS OBJET;99
0410629L;Public;SANS OBJET;99
0291208F;Privé;SANS OBJET;99
6200190M;Public;SANS OBJET;99
0100891P;Privé;SANS OBJET;99
0400750Y;Public;SANS OBJET;99
0271108H;Public;SANS OBJET;99
0280944Z;Privé;SANS OBJET;99
0251477V;Privé;SANS OBJET;99
0700947Z;Privé;SANS OBJET;99
0290324V;Privé;SANS OBJET;99
0341471P;Privé;SANS OBJET;99
0595120V;Privé;SANS OBJET;99
0120936C;Privé;SANS OBJET;99
0511196Y;Public;SANS OBJET;99
0631457S;Public;SANS OBJET;99
0950709E;Public;SANS OBJET;99
0771436T;Public;SANS OBJET;99
0350918H;Privé;SANS OBJET;99
0911037H;Public;SANS OBJET;99
0410855G;Privé;SANS OBJET;99
0040003G;Public;SANS OBJET;99
0490782J;Public;SANS OBJET;99
0211173L;Public;SANS OBJET;99
0450064A;Public;SANS OBJET;99
9711033W;Public;SANS OBJET;99
0940742W;Public;SANS OBJET;99
0754030Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
7200684F;Public;SANS OBJET;99
0860029P;Public;SANS OBJET;99
0460039T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
6200063Z;Public;SANS OBJET;99
0580584V;Public;SANS OBJET;99
0650014M;Public;SANS OBJET;99
0750668U;Public;SANS OBJET;99
0731043M;Public;SANS OBJET;99
0420033H;Public;SANS OBJET;99
0331590Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0840940R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0850028U;Public;SANS OBJET;99
0851643Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0560105K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0380083J;Public;SANS OBJET;99
0290340M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0610002W;Public;SANS OBJET;99
0380034F;Public;SANS OBJET;99
0601822E;Public;SANS OBJET;99
0171238D;Public;SANS OBJET;99
0931735F;Public;SANS OBJET;99
0350776D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0932123C;Public;SANS OBJET;99
0690105P;Public;SANS OBJET;99
0421489R;Public;SANS OBJET;99
0300106C;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0300011Z;Public;SANS OBJET;99
0020078Z;Public;SANS OBJET;99
0921500F;Public;SANS OBJET;99
0692681P;Privé;SANS OBJET;99
0490005P;Public;SANS OBJET;99
0170052P;Public;SANS OBJET;99
0530068L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0130054N;Public;SANS OBJET;99
0620043K;Public;SANS OBJET;99
0110670U;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0410832G;Public;SANS OBJET;99
0130068D;Public;SANS OBJET;99
0590249A;Public;SANS OBJET;99
0830960T;Public;SANS OBJET;99
0060028Y;Public;SANS OBJET;99
0951282C;Public;SANS OBJET;99
0693375U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0332835C;Public;SANS OBJET;99
0492224B;Public;SANS OBJET;99
0540081V;Public;SANS OBJET;99
0760145V;Public;SANS OBJET;99
0390021L;Public;SANS OBJET;99
0300077W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0831440P;Public;SANS OBJET;99
0060040L;Public;SANS OBJET;99
0382099A;Public;SANS OBJET;99
0410959V;Public;SANS OBJET;99
0830101J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0660809W;Public;SANS OBJET;99
0391092A;Public;SANS OBJET;99
9741087N;Public;SANS OBJET;99
0400020E;Public;SANS OBJET;99
0770920G;Public;SANS OBJET;99
9730421V;Public;SANS OBJET;99
0180823X;Public;SANS OBJET;99
0210019G;Public;SANS OBJET;99
0711729U;Public;SANS OBJET;99
0210006T;Public;SANS OBJET;99
0170135E;Public;SANS OBJET;99
0451037H;Public;SANS OBJET;99
0133395V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0597005U;Public;SANS OBJET;99
0592976P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0783533S;Public;SANS OBJET;99
9740934X;Public;SANS OBJET;99
0590011S;Public;SANS OBJET;99
0590192N;Public;SANS OBJET;99
0301210C;Public;SANS OBJET;99
0790702J;Public;SANS OBJET;99
9730003R;Public;SANS OBJET;99
0210018F;Public;SANS OBJET;99
0133406G;Public;SANS OBJET;99
0401002X;Public;SANS OBJET;99
0550026E;Public;SANS OBJET;99
0930128J;Public;SANS OBJET;99
0760036B;Public;SANS OBJET;99
9710746J;Public;SANS OBJET;99
0590216P;Public;SANS OBJET;99
9740020D;Public;SANS OBJET;99
0020492Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0620188T;Public;SANS OBJET;99
0900236T;Public;SANS OBJET;99
0920163C;Public;SANS OBJET;99
0740054G;Public;SANS OBJET;99
0593015G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0251349F;Public;SANS OBJET;99
0572101Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0780584L;Public;SANS OBJET;99
0541364P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0860006P;Public;SANS OBJET;99
0050009H;Public;SANS OBJET;99
0660057D;Public;SANS OBJET;99
0401016M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0190056H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0650035K;Public;SANS OBJET;99
0690047B;Public;SANS OBJET;99
0330076D;Public;SANS OBJET;99
0290105G;Public;SANS OBJET;99
0630024J;Public;SANS OBJET;99
0480657D;Public;SANS OBJET;99
0881498A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0311324W;Public;SANS OBJET;99
0740148J;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0511153B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0430953C;Public;SANS OBJET;99
0670024M;Public;SANS OBJET;99
0750800M;Public;SANS OBJET;99
0110678C;Privé;SANS OBJET;99
0680161F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0510007F;Public;SANS OBJET;99
0596957S;Public;SANS OBJET;99
0600048B;Public;SANS OBJET;99
0400046H;Public;SANS OBJET;99
0331668J;Public;SANS OBJET;99
9720844K;Public;SANS OBJET;99
0490055U;Public;SANS OBJET;99
0141175B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9741380G;Public;SANS OBJET;99
0762836V;Public;SANS OBJET;99
0693371P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0420074C;Public;SANS OBJET;99
0440074S;Public;SANS OBJET;99
0750802P;Public;SANS OBJET;99
0910755B;Public;SANS OBJET;99
0810105Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0100063P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0330026Z;Public;SANS OBJET;99
0670006T;Public;SANS OBJET;99
0312822Z;Public;SANS OBJET;99
0061691F;Public;SANS OBJET;99
0750651A;Public;SANS OBJET;99
0090024C;Public;SANS OBJET;99
0030026M;Public;SANS OBJET;99
0730763H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0271097W;Public;SANS OBJET;99
0311092U;Public;SANS OBJET;99
0530904V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0320040V;Public;SANS OBJET;99
0331498Z;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0310053P;Public;SANS OBJET;99
0810016C;Public;SANS OBJET;99
0950805J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
7200011Z;Public;SANS OBJET;99
0331882S;Public;SANS OBJET;99
0762765T;Public;SANS OBJET;99
0360005K;Public;SANS OBJET;99
0931739K;Public;SANS OBJET;99
0330069W;Public;SANS OBJET;99
0330082K;Public;SANS OBJET;99
0490910Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0951811C;Public;SANS OBJET;99
0240050Z;Public;SANS OBJET;99
0940134K;Public;SANS OBJET;99
9710709U;Public;SANS OBJET;99
0600004D;Public;SANS OBJET;99
0640184C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0261100E;Public;SANS OBJET;99
0941294W;Public;SANS OBJET;99
0772342C;Public;SANS OBJET;99
0490040C;Public;SANS OBJET;99
0220060W;Public;SANS OBJET;99
0780004F;Public;SANS OBJET;99
0442112G;Public;SANS OBJET;99
0692866R;Public;SANS OBJET;99
0772276F;Public;SANS OBJET;99
0772332S;Public;SANS OBJET;99
0750710P;Public;SANS OBJET;99
0771336J;Public;SANS OBJET;99
0590185F;Public;SANS OBJET;99
0801327H;Public;SANS OBJET;99
0840218F;Public;SANS OBJET;99
0801742J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0830077H;Public;SANS OBJET;99
0911264E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9740979W;Public;SANS OBJET;99
0781070P;Privé;SANS OBJET;99
0020014E;Public;SANS OBJET;99
0770940D;Public;SANS OBJET;99
9741051Z;Public;SANS OBJET;99
0930136T;Public;SANS OBJET;99
0624141P;Public;SANS OBJET;99
0870056N;Public;SANS OBJET;99
0930119Z;Public;SANS OBJET;99
0230008J;Public;SANS OBJET;99
0870748R;Public;SANS OBJET;99
0700077D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0593495D;Public;SANS OBJET;99
0570294K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0312062Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0371123V;Public;SANS OBJET;99
0560019S;Public;SANS OBJET;99
9840364Y;Public;SANS OBJET;99
9840404S;Public;SANS OBJET;99
0360003H;Public;SANS OBJET;99
0550983V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0870004G;Public;SANS OBJET;99
9760220K;Public;SANS OBJET;99
0590255G;Public;SANS OBJET;99
0941722L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0020498F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0070031W;Public;SANS OBJET;99
0623903F;Public;SANS OBJET;99
0320652K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0790043T;Public;SANS OBJET;99
0830661T;Public;SANS OBJET;99
0622192W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0130006L;Public;SANS OBJET;99
0132193N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0290078C;Public;SANS OBJET;99
0691723Y;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0880133S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0240006B;Public;SANS OBJET;99
6200003J;Public;SANS OBJET;99
0640028H;Public;SANS OBJET;99
0700076C;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0601870G;Public;SANS OBJET;99
0851504Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0221866J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0940823J;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0541605B;Public;SANS OBJET;99
0762602R;Public;SANS OBJET;99
0421691K;Public;SANS OBJET;99
0370757X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0801947G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0220123P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0090045A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0020050U;Public;SANS OBJET;99
0690132U;Public;SANS OBJET;99
0570107G;Public;SANS OBJET;99
0420029D;Public;SANS OBJET;99
0420049A;Public;SANS OBJET;99
0070002P;Public;SANS OBJET;99
0380023U;Public;SANS OBJET;99
0640058R;Public;SANS OBJET;99
0240984P;Public;SANS OBJET;99
6200004K;Public;SANS OBJET;99
0220075M;Public;SANS OBJET;99
0672616E;Public;SANS OBJET;99
0680068E;Public;SANS OBJET;99
0681809X;Public;SANS OBJET;99
0670084C;Public;SANS OBJET;99
0670043H;Public;SANS OBJET;99
0730760E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0610790C;Public;SANS OBJET;99
0130150T;Public;SANS OBJET;99
0381805F;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0130057S;Public;SANS OBJET;99
0442752C;Public;SANS OBJET;99
0451526P;Public;SANS OBJET;99
0753840S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0381678T;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0070029U;Public;SANS OBJET;99
0740037N;Public;SANS OBJET;99
0870040W;Public;SANS OBJET;99
0300026R;Public;SANS OBJET;99
0020032Z;Public;SANS OBJET;99
0080039Z;Public;SANS OBJET;99
0680051L;Public;SANS OBJET;99
0420014M;Public;SANS OBJET;99
0680008P;Public;SANS OBJET;99
0670005S;Public;SANS OBJET;99
0754475G;Public;SANS OBJET;99
0692717D;Public;SANS OBJET;99
0370878D;Public;SANS OBJET;99
0801882L;Public;SANS OBJET;99
0650040R;Public;SANS OBJET;99
0800046R;Public;SANS OBJET;99
0134003F;Public;SANS OBJET;99
0011194T;Public;SANS OBJET;99
0820004J;Public;SANS OBJET;99
9830460H;Public;SANS OBJET;99
0380008C;Public;SANS OBJET;99
0530011Z;Public;SANS OBJET;99
0721337M;Privé;SANS OBJET;99
0830095C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0352009U;Public;SANS OBJET;99
0623277A;Privé;SANS OBJET;99
0860774Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9711252J;Public;SANS OBJET;99
0840005Z;Public;SANS OBJET;99
0440012Z;Public;SANS OBJET;99
0530004S;Public;SANS OBJET;99
0351054F;Public;SANS OBJET;99
0754045P;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0540066D;Public;SANS OBJET;99
0292137R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0810012Y;Public;SANS OBJET;99
0801479Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0940129E;Public;SANS OBJET;99
0540070H;Public;SANS OBJET;99
0597115N;Public;SANS OBJET;99
0801900F;Public;SANS OBJET;99
0601823F;Public;SANS OBJET;99
0021869W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0801864S;Public;SANS OBJET;99
0932074Z;Public;SANS OBJET;99
9710067W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690660T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0340923U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0421980Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0420976H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0270018Y;Public;SANS OBJET;99
0340078A;Public;SANS OBJET;99
0320633P;Privé;SANS OBJET;99
0190012K;Public;SANS OBJET;99
0870058R;Public;SANS OBJET;99
0190018S;Public;SANS OBJET;99
0542295B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0660924W;Public;SANS OBJET;99
0741101V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0580050P;Public;SANS OBJET;99
0211091X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0700905D;Public;SANS OBJET;99
0542408Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0071126L;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0755537L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0672904T;Privé;HORS CONTRAT;10
0011256K;Privé;HORS CONTRAT;10
0011336X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0021477V;Public;SANS OBJET;99
0022006V;Privé;HORS CONTRAT;10
0022172A;Public;SANS OBJET;99
0022210S;Public;SANS OBJET;99
0040496T;Privé;HORS CONTRAT;10
0040550B;Privé;HORS CONTRAT;10
0050600A;Public;SANS OBJET;99
0060687P;Privé;HORS CONTRAT;10
0061812M;Public;SANS OBJET;99
0061816S;Privé;HORS CONTRAT;10
0061888V;Privé;HORS CONTRAT;10
0062096W;Privé;HORS CONTRAT;10
0062203M;Privé;HORS CONTRAT;10
0062369T;Privé;HORS CONTRAT;10
0071464D;Privé;HORS CONTRAT;10
0090686X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0090694F;Public;SANS OBJET;99
0101134D;Public;SANS OBJET;99
0101135E;Public;SANS OBJET;99
0101137G;Public;SANS OBJET;99
0101148U;Privé;HORS CONTRAT;10
0110008Z;Public;SANS OBJET;99
0110981G;Privé;HORS CONTRAT;10
0111055M;Privé;HORS CONTRAT;10
0111057P;Privé;HORS CONTRAT;10
0121234B;Privé;HORS CONTRAT;10
0130170P;Public;SANS OBJET;99
0130172S;Public;SANS OBJET;99
0631048X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0131518E;Privé;HORS CONTRAT;10
0420987V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0131685L;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0600062S;Public;SANS OBJET;99
0132211H;Public;SANS OBJET;99
0132965C;Privé;HORS CONTRAT;10
0133365M;Public;SANS OBJET;99
0133367P;Public;SANS OBJET;99
0130064Z;Public;SANS OBJET;99
0133588E;Public;SANS OBJET;99
0130025G;Public;SANS OBJET;99
0590187H;Public;SANS OBJET;99
0133961K;Privé;HORS CONTRAT;10
0501941N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0134010N;Privé;HORS CONTRAT;10
0382169B;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0134090A;Privé;HORS CONTRAT;10
0280689X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690712Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0640026F;Public;SANS OBJET;99
0134522V;Privé;HORS CONTRAT;10
0760024N;Public;SANS OBJET;99
0142162Z;Public;SANS OBJET;99
0590266U;Public;SANS OBJET;99
0142417B;Public;SANS OBJET;99
0142459X;Privé;HORS CONTRAT;10
0150667U;Public;SANS OBJET;99
0150743B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0150761W;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0171058H;Public;SANS OBJET;99
0171672A;Privé;HORS CONTRAT;10
0180906M;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0190070Y;Privé;HORS CONTRAT;10
0190834D;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0195033T;Public;SANS OBJET;99
0212284U;Privé;HORS CONTRAT;10
0580075S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0220012U;Public;SANS OBJET;99
0560042S;Public;SANS OBJET;99
0950804H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0241140J;Public;SANS OBJET;99
9720073X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0130072H;Public;SANS OBJET;99
0251070C;Privé;HORS CONTRAT;10
0763004C;Public;SANS OBJET;99
0270051J;Public;SANS OBJET;99
0921595J;Public;SANS OBJET;99
0251810G;Public;SANS OBJET;99
0271619N;Public;SANS OBJET;99
0271621R;Public;SANS OBJET;99
0271906A;Public;SANS OBJET;99
0281053T;Public;SANS OBJET;99
0281130B;Public;SANS OBJET;99
0281150Y;Privé;HORS CONTRAT;10
9830006P;Public;SANS OBJET;99
0290103E;Public;SANS OBJET;99
0930130L;Public;SANS OBJET;99
0291758D;Public;SANS OBJET;99
0341699M;Public;SANS OBJET;99
0292121Y;Public;SANS OBJET;99
0593027V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0292214Z;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0891159B;Public;SANS OBJET;99
0292365N;Privé;HORS CONTRAT;10
0271319M;Public;SANS OBJET;99
0932122B;Public;SANS OBJET;99
0301658P;Public;SANS OBJET;99
0870013S;Public;SANS OBJET;99
0301659R;Public;SANS OBJET;99
0440307V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0301800U;Privé;HORS CONTRAT;10
0820885S;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
9830515T;Public;SANS OBJET;99
0312527D;Privé;HORS CONTRAT;10
0060022S;Public;SANS OBJET;99
0312572C;Public;SANS OBJET;99
0160119T;Public;SANS OBJET;99
0070009X;Public;SANS OBJET;99
0312844Y;Public;SANS OBJET;99
0190674E;Public;SANS OBJET;99
0312883R;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0400916D;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0312918D;Public;SANS OBJET;99
0631050Z;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0221624W;Public;SANS OBJET;99
0320690B;Public;SANS OBJET;99
0420992A;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0340992U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0331557N;Privé;HORS CONTRAT;10
0840039L;Public;SANS OBJET;99
9870003P;Public;SANS OBJET;99
0332834B;Public;SANS OBJET;99
0490886X;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0022002R;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0333276G;Public;SANS OBJET;99
0280687V;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0680027K;Public;SANS OBJET;99
0771997C;Public;SANS OBJET;99
0220064A;Public;SANS OBJET;99
0220122N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0610721C;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0210056X;Public;SANS OBJET;99
0330011H;Public;SANS OBJET;99
0341672H;Privé;HORS CONTRAT;10
0542519V;Privé;SANS OBJET;99
0341758B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0080010T;Public;SANS OBJET;99
0342060E;Public;SANS OBJET;99
0420996E;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0342079A;Public;SANS OBJET;99
0572951Y;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0342165U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0690046A;Public;SANS OBJET;99
0342264B;Privé;HORS CONTRAT;10
0130033R;Public;SANS OBJET;99
0342309A;Public;SANS OBJET;99
0810100U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0342370S;Public;SANS OBJET;99
0840700E;Public;SANS OBJET;99
0342383F;Privé;HORS CONTRAT;10
0541363N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0342401A;Privé;HORS CONTRAT;10
0501599S;Public;SANS OBJET;99
0352459H;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0560001X;Public;SANS OBJET;99
0391001B;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0352804H;Privé;HORS CONTRAT;10
0360020B;Public;SANS OBJET;99
0360671J;Privé;HORS CONTRAT;10
0360852F;Public;SANS OBJET;99
0360860P;Privé;HORS CONTRAT;10
0371258S;Public;SANS OBJET;99
0371455F;Public;SANS OBJET;99
0371535T;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0371563Y;Public;SANS OBJET;99
0371577N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0371591D;Public;SANS OBJET;99
0371726A;Public;SANS OBJET;99
0383507F;Privé;HORS CONTRAT;10
0391126M;Public;SANS OBJET;99
0391222S;Privé;HORS CONTRAT;10
0410965B;Public;SANS OBJET;99
0410966C;Public;SANS OBJET;99
0411011B;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0411093R;Privé;HORS CONTRAT;10
0421947N;Privé;HORS CONTRAT;10
0422052C;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0422190C;Privé;HORS CONTRAT;10
0430810X;Public;SANS OBJET;99
0431041Y;Privé;HORS CONTRAT;10
0440032W;Public;SANS OBJET;99
0440432F;Privé;HORS CONTRAT;10
0442362D;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0442365G;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0442715M;Privé;CONTRAT ASSOCIATION PARTIE DES CLASSES;31
0451490A;Public;SANS OBJET;99
0451491B;Public;SANS OBJET;99
0451654D;Public;SANS OBJET;99
0451730L;Public;SANS OBJET;99
0451743A;Public;SANS OBJET;99
0451771F;Privé;HORS CONTRAT;10
0460737B;Privé;HORS CONTRAT;10
0480045N;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0490950S;Privé;HORS CONTRAT;10
0492109B;Public;SANS OBJET;99
0492240U;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0492481F;Privé;HORS CONTRAT;10
0492522A;Privé;HORS CONTRAT;10
0500090B;Public;SANS OBJET;99
0512081K;Privé;CONTRAT D'ASSOCIATION TOUTES CLASSES;30
0512153N;Public;SANS OBJET;99
0512182V;Public;SANS OBJET;99
0521137D;Public;SANS OBJET;99
0541973B;Privé;HORS CONTRAT;10
0551028U;Privé;HORS CONTRAT;10
0561404X;Privé;HORS CONTRAT;10
0561654U;Privé;HORS CONTRAT;10
0561680X;Public;SANS OBJET;99
0561911Y;Privé;HORS CONTRAT;10
0570109J;Public;SANS OBJET;99
0570123Z;Public;SANS OBJET;99
0572591G;Public;SANS OBJET;99
0572756L;Public;SANS OBJET;99
0573491K;Public;SANS OBJET;99
0573543S;Privé;HORS CONTRAT;10
0573778X;Privé;HORS CONTRAT;10
0581019T;Privé;HORS CONTRAT;10
0596794P;Privé;HORS CONTRAT;10
