"id";"SIRET";"secteur";"public";"public_employer_type";"Rue";"Ville";"Code postal";"Filière"
38305;"17800430500169";"Comptabilité, gestion, ressources humaines";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Boulevard d'Alsace-Lorraine";"Amiens";"80000";"seconde_only"
38306;"17930431601086";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"8 Rue Claude Bernard";"Bobigny";"93000";"seconde_only"
38307;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Les Plains-et-Grands-Essarts";"Les Plains-et-Grands-Essarts";"25470";"seconde_only"
38308;"17930431601086";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"8 Rue Claude Bernard";"Bobigny";"93000";"seconde_only"
38309;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"28 Rue des 2 Sources";"Vénérand";"17100";"seconde_only"
38310;;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Place Francois Mitterrand";"Villeparisis";"77270";"seconde_troisieme_or_quatrieme"
38311;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"Vétraz-Monthoux";"Vétraz-Monthoux";"74100";"seconde_troisieme_or_quatrieme"
38312;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"13 Rue de Paradis";"Aubepierre-Ozouer-le-Repos";"77720";"seconde_troisieme_or_quatrieme"
38313;"17930431601086";"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"8 Rue Claude Bernard";"Bobigny";"93000";"seconde_only"
38314;;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche";"26 Rue de l'Agriculture";"Bezons";"95870";"seconde_troisieme_or_quatrieme"
