"id";"secteur";"public";"public_employer_type"
66935;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66936;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66937;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66938;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66939;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66940;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66941;"Énergie";FAUX;
66942;"Énergie";FAUX;
66943;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66944;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66945;"Sport";FAUX;
66946;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66947;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66949;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66951;"Comptabilité, gestion, ressources humaines";VRAI;
66952;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66953;"Sécurité";FAUX;
66954;"Informatique et réseaux";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
66955;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66957;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66958;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66959;"Fonction publique";VRAI;"Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
66960;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66962;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
66963;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66964;"Armée - Défense";VRAI;"Ministère des Armées"
66965;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66966;"Énergie";FAUX;
66967;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66968;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66969;"Fonction publique";VRAI;"Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche"
66970;"Fonction publique";VRAI;"Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche"
66971;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66972;"Fonction publique";VRAI;"Ministère de la Transition écologique, de la Biodiversité, de la Forêt, de la Mer et de la Pêche"
66973;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66974;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66975;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66976;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66977;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66978;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66979;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66980;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66981;"Commerce et distribution";FAUX;
66982;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66983;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66984;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66985;"Santé";FAUX;
66986;"Fonction publique";VRAI;"Ministère de l'Intérieur"
66987;"Fonction publique";VRAI;"Ministère de l’Agriculture et de la Souveraineté alimentaire"
66988;"Santé";FAUX;
66989;"Santé";FAUX;
66990;"Santé";FAUX;
66991;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66992;"Enseignement";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66993;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66994;"Fonction publique";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
66995;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66996;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
66997;"Environnement";FAUX;
66998;"Santé";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
66999;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67000;"Environnement";FAUX;
67001;"Énergie";FAUX;
67002;"Social";VRAI;"Ministère du Travail, de la Santé, des Solidarités et des Familles"
67003;"Banque et assurance";FAUX;
67004;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67006;"Environnement";FAUX;
67007;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67008;"Environnement";FAUX;
67013;"Environnement";FAUX;
67014;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67016;"Fonction publique";VRAI;"Ministère de l'Intérieur"
67018;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67019;"Environnement";FAUX;
67020;"Fonction publique";VRAI;"Ministère de l'Éducation nationale, de l'Enseignement supérieur et de la Recherche"
67021;"Informatique et réseaux";VRAI;"Collectivité territoriale (communes, départements, régions, leurs regroupements et leurs établissements)"
