ACADEMIE;CODE_RNE (UAI);ID_ETAB_SCONET (ETAB_UAJ_Id);DIVISION (CLASSE);EFFECTIF DECLARE;MINISTERE
Aix-Marseille;0840021S;251;2GT4;28
Aix-Marseille;0840021S;251;2GT5;28
Aix-Marseille;0840021S;251;2GT6;28
Aix-Marseille;0840021S;251;2GT7;28
Aix-Marseille;0840021S;251;2GT8;28
Aix-Marseille;0840021S;251;2GT9;28
Aix-Marseille;0840021S;251;2MS;30
Aix-Marseille;0840021S;251;2MTNE;30
Aix-Marseille;0130064Z;463;2 ASSP1;15
Aix-Marseille;0130064Z;463;2 ASSP2;15
Aix-Marseille;0130064Z;463;2 ASSP3;15
Aix-Marseille;0130064Z;463;2 ASSP4;15
Aix-Marseille;0130064Z;463;2 GATL;24
Aix-Marseille;0130064Z;463;2 MMV;24
Aix-Marseille;0130064Z;463;2 MRC1;16
Aix-Marseille;0130064Z;463;2 MRC2;16
Aix-Marseille;0130064Z;463;2 MRC3;16
Aix-Marseille;0134155W;1121;2NDE1;50
Aix-Marseille;0134155W;1121;2NDE2;35
Aix-Marseille;0134155W;1121;2NDE3;35
Aix-Marseille;0134155W;1121;2NDE4;50
Aix-Marseille;0134155W;1121;2NDE5;35
Aix-Marseille;0134155W;1121;2NDE6;35
Aix-Marseille;0134155W;1121;2NDE7;24
Aix-Marseille;0134155W;1121;2NDE8;24
Aix-Marseille;0134155W;1121;2PRO HPS;15
Aix-Marseille;0840004Y;348;2D01;26
Aix-Marseille;0840004Y;348;2D02;26
Aix-Marseille;0840004Y;348;2D03;26
Aix-Marseille;0840004Y;348;2D04;28
Aix-Marseille;0840004Y;348;2D05;28
Aix-Marseille;0840004Y;348;2D06;27
Aix-Marseille;0840004Y;348;2D07;28
Aix-Marseille;0840004Y;348;2D08;26
Aix-Marseille;0840004Y;348;2D09;14
Aix-Marseille;0840004Y;348;2D10;26
Aix-Marseille;0840004Y;348;2D11;26
Aix-Marseille;0840004Y;348;2D12;26
Aix-Marseille;0840004Y;348;2D13;26
Aix-Marseille;0840004Y;348;2D14;26
Aix-Marseille;0040010P;378;2 1;40
Aix-Marseille;0040010P;378;2 10;35
Aix-Marseille;0040010P;378;2 11;35
Aix-Marseille;0040010P;378;2 12;35
Aix-Marseille;0040010P;378;2 2;35
Aix-Marseille;0040010P;378;2 3;35
Aix-Marseille;0040010P;378;2 4;35
Aix-Marseille;0040010P;378;2 5;35
Aix-Marseille;0040010P;378;2 6;35
Aix-Marseille;0040010P;378;2 7;35
Aix-Marseille;0040010P;378;2 8;35
Aix-Marseille;0040010P;378;2 9;35
Aix-Marseille;0132974M;428;2BAC1;28
Aix-Marseille;0132974M;428;2PROALIM;24
Aix-Marseille;0132974M;428;2PROCR1;24
Aix-Marseille;0132974M;428;2PROCR2;24
Aix-Marseille;0132974M;428;2STHR2;36
Aix-Marseille;0130057S;3;2NDPRO1;24
Aix-Marseille;0130057S;3;2NDPRO2;24
Aix-Marseille;0130057S;3;2NDPRO3;24
Aix-Marseille;0130057S;3;2NDPRO4;12
Aix-Marseille;0133305X;762;2NDPRO;25
Aix-Marseille;0840082H;978;2GA1;31
Aix-Marseille;0840082H;978;2GA2;32
Aix-Marseille;0840082H;978;2MRC1;23
Aix-Marseille;0840082H;978;2MRC2;32
Aix-Marseille;0840082H;978;2MRC3;32
Aix-Marseille;0840082H;978;2MS;19
Aix-Marseille;0130051K;459;2A;35
Aix-Marseille;0130051K;459;2B;35
Aix-Marseille;0130051K;459;2C;35
Aix-Marseille;0130051K;459;2D;35
Aix-Marseille;0130051K;459;2E;35
Aix-Marseille;0131436R;973;2TNE1;24
Aix-Marseille;0131436R;973;2TNE2;24
Aix-Marseille;0130062X;417;2 GATL;24
Aix-Marseille;0130062X;417;2 MRC1;19
Aix-Marseille;0130062X;417;2 MRC2;19
Aix-Marseille;0130062X;417;2AUTO1;20
Aix-Marseille;0130062X;417;2AUTO2;20
