uai;type_etab;nom_etablissement;adresse;code_postal;commune;position;voie_generale;voie_techno;voie_pro;etab_mere;nbeleves;voie_gt;rentree_scolaire;nombre_d_eleves;2ndes_gt;_merge;nbeleves_est;2des_est
0541319R;Lycée;Lycée Saint-Dominique;11 rue du Manège;54004.0;Nancy;48.69086075595297, 6.18829025423088;1.0;0.0;0.0;;137.0;True;2022.0;137.0;53.0;both;137.0;53.0
0133195C;Lycée;Lycée Jean Cocteau;Avenue Jean Cocteau;13141.0;Miramas;43.587082623970545, 5.009329552294081;1.0;1.0;0.0;;826.0;True;2022.0;826.0;290.0;both;826.0;290.0
0761710W;Lycée;Lycée privé Saint Joseph;207 rue Félix Faure;76072.0;Le Havre;49.50038010712616, 0.10553363588156482;1.0;0.0;0.0;;1015.0;True;2022.0;1015.0;350.0;both;1015.0;350.0
0910824B;Lycée;Lycée du Sacré-Coeur;2 rue du Gaizon;91620.0;La Ville-du-Bois;48.660190289637285, 2.2630038735938567;1.0;1.0;0.0;;521.0;True;2022.0;521.0;191.0;both;521.0;191.0
0782924E;Lycée;Lycée Evariste Galois;8 rue Evariste Galois;78500.0;Sartrouville;48.92837364934127, 2.1642334670814893;1.0;1.0;0.0;;1757.0;True;2022.0;1757.0;575.0;both;1757.0;575.0
0951763A;Lycée;Lycée Louis Jouvet;26 rue de Saint-Prix;95150.0;Taverny;49.019492050995524, 2.2086035848039076;1.0;1.0;1.0;;1468.0;True;2022.0;1005.0;311.0;both;1005.0;311.0
0440201E;Lycée;Lycée Saint-Joseph;14 rue des Capucins;44270.0;Machecoul-Saint-Même;46.993742201941075, -1.8235502189487176;1.0;1.0;0.0;;596.0;True;2022.0;596.0;225.0;both;596.0;225.0
0840110N;Lycée;Lycée d'enseignement général et technologique François Pétrarque;3592 Route de Marseille;84911.0;Avignon;43.91028510026969, 4.883433991006878;1.0;1.0;1.0;;;True;;;;left_only;646.0;207.0
0141161L;Lycée;Lycée privé Jeanne d'Arc;27 rue Claude Chappe;14000.0;Caen;49.18154832569018, -0.39537980810995105;1.0;0.0;0.0;;804.0;True;2022.0;804.0;281.0;both;804.0;281.0
0782540M;Lycée;Lycée Jean Rostand;66 rue Fernand Bodet;78200.0;Mantes-la-Jolie;48.997956370212556, 1.6966592625740586;1.0;1.0;1.0;;1038.0;True;2022.0;622.0;212.0;both;622.0;212.0
0932783V;Lycée;Lycée Joséphine Baker;2 rue d'Amiens;93380.0;Pierrefitte-sur-Seine;48.95327463878157, 2.368387362801961;1.0;0.0;0.0;;381.0;True;2022.0;381.0;235.0;both;381.0;235.0
0781839A;Lycée;Lycée Jean Monnet;Place de l'Europe;78940.0;La Queue-lez-Yvelines;48.80231030919783, 1.7824014864829185;1.0;1.0;1.0;;1185.0;True;2022.0;1013.0;326.0;both;1013.0;326.0
0160065J;Lycée;Lycée privé Beaulieu;23 place Beaulieu;16105.0;Cognac;45.6940344630659, -0.3309901232827472;1.0;0.0;0.0;;260.0;True;2022.0;260.0;81.0;both;260.0;81.0
0693518Z;Lycée;Lycée Blaise Pascal;2 avenue Bergeron;69260.0;Charbonnières-les-Bains;45.778219882308335, 4.742564126043531;1.0;1.0;0.0;;1416.0;True;2022.0;1416.0;481.0;both;1416.0;481.0
0782567S;Lycée;Lycée Marie Curie;70 avenue de Paris;78000.0;Versailles;48.79863568510691, 2.141769421757703;1.0;1.0;0.0;;1240.0;True;2022.0;1240.0;315.0;both;1240.0;315.0
0312289V;Lycée;Lycée général et technologique Pierre Paul Riquet;2 avenue du lycée;31671.0;Saint-Orens-de-Gameville;43.53984199380689, 1.5487112571127981;1.0;1.0;0.0;;1449.0;True;2022.0;1449.0;521.0;both;1449.0;521.0
0131331B;Lycée;Lycée Saint-Joseph les Maristes;24 rue Sainte Victoire;13006.0;Marseille;43.28631859499157, 5.381980211099259;1.0;0.0;0.0;;374.0;True;2022.0;374.0;131.0;both;374.0;131.0
0441552Y;Lycée;Lycée polyvalent Les Bourdonnières;Rue de la Perrière;44265.0;Nantes;47.18616538280837, -1.5174799567161925;1.0;1.0;1.0;;1728.0;True;2022.0;1382.0;410.0;both;1382.0;410.0
0330021U;Lycée;Lycée Michel Montaigne;226 rue Sainte-Catherine;33075.0;Bordeaux;44.83348222766258, -0.5730635067578785;1.0;0.0;0.0;;876.0;True;2022.0;876.0;298.0;both;876.0;298.0
0410002E;Lycée;Lycée Philibert Dessaignes;12 rue Dessaignes;41000.0;Blois;47.59544339381901, 1.3387700845610522;1.0;1.0;0.0;;1370.0;True;2022.0;1370.0;418.0;both;1370.0;418.0
0771357G;Lycée;Lycée d'enseignement général technologique et professionnel agricole La Bretonnière;La Bretonnière;77120.0;Chailly-en-Brie;48.81341738428854, 3.1503720861693494;0.0;1.0;1.0;;;True;;;;left_only;646.0;146.0
