EP 2023-2024;Numéro d'établissement;Patronyme;Appartenance à un REP 2015 Lib L;Appartenance à un REPPLUS Lib L;En QPV 2024 DEPP oui/non
Hors EP;0761347B;NOTRE-DAME;NON;NON;Dans QP
Hors EP;0761353H;DE LA COIFFURE ALBERT POURRIER;NON;NON;
Hors EP;0180571Y;ST JEAN BAPTISTE DE LA SALLE;NON;NON;Dans QP
Hors EP;0180572Z;SAINT JOSEPH;NON;NON;Dans QP
Hors EP;0280684S;NOTRE DAME;NON;NON;
Hors EP;0280687V;DE COUASNON;NON;NON;Dans QP
Hors EP;0280689X;FRANCOISE D AUBIGNE;NON;NON;
Hors EP;0280691Z;NOTRE DAME;NON;NON;
Hors EP;0371532P;ESTHETIQUE DE TOURAINE;NON;NON;Dans QP
Hors EP;0370757X;NOTRE DAME LA RICHE;NON;NON;Dans QP
Hors EP;0371328T;SAINTE-URSULE;NON;NON;Dans QP
Hors EP;0450107X;SAINT LOUIS;NON;NON;Dans QP
Hors EP;0450764L;ECBG;NON;NON;Dans QP
Hors EP;0451590J;STE CROIX ST EUVERTE;NON;NON;
Hors EP;0751883P;INSTITUT PRIVE CLORIVIERE;NON;NON;
Hors EP;0753537M;EC SUP TECH BIOLOGIE APPLIQUEE;NON;NON;Dans QP
Hors EP;0754037F;FENELON SUP LA PLAINE MONCEAU;NON;NON;
Hors EP;0160083D;SAINT JOSEPH L'AMANDIER;NON;NON;
Hors EP;0161133V;SAINTE MARTHE CHAVAGNES;NON;NON;Dans QP
Hors EP;0860789R;ISAAC DE L'ETOILE (LE PORTEAU);NON;NON;
Hors EP;0860752A;SAINT GABRIEL NOTRE DAME;NON;NON;Dans QP
Hors EP;0080093H;JEANNE D'ARC;NON;NON;
Hors EP;0100063P;LEONIE AVIAT;NON;NON;Dans QP
Hors EP;0100078F;JEANNE MANCE;NON;NON;Dans QP
Hors EP;0101015Z;LA SALLE;NON;NON;Dans QP
Hors EP;0520692V;ESTIC;NON;NON;
Hors EP;0511149X;STE MARIE;NON;NON;Dans QP
Hors EP;0511153B;JEANNE D'ARC - LA SALLE;NON;NON;
Hors EP;0220116G;POLE SUPERIEUR LYCEE ST-BRIEUC;NON;NON;Dans QP
Hors EP;0220122N;MONTBAREIL;NON;NON;Dans QP
Hors EP;0220123P;SAINT JOSEPH - BOSSUET;NON;NON;Dans QP
Hors EP;0221865H;ST JOSEPH;NON;NON;
Hors EP;0221866J;KERSA LA SALLE;NON;NON;
Hors EP;0221867K;MARIE BALAVENNE;NON;NON;Dans QP
Hors EP;0290184T;ST JOSEPH;NON;NON;
Hors EP;0290200K;LE PORSMEUR;NON;NON;
Hors EP;0290207T;ND DU KREISKER;NON;NON;
Hors EP;0291808H;SAINT JOSEPH - SAINT MARC;NON;NON;Dans QP
Hors EP;0292139T;JAVOUHEY;NON;NON;Dans QP
Hors EP;0292144Y;LE LIKES - LA SALLE;NON;NON;
Hors EP;0292157M;STE ELISABETH;NON;NON;
Hors EP;0350790U;NOTRE DAME;NON;NON;
Hors EP;0350807M;NOTRE DAME;NON;NON;
Hors EP;0352446U;STE THERESE;NON;NON;
Hors EP;0560180S;NOTRE DAME DE LA PAIX;NON;NON;Dans QP
Hors EP;0560197K;ST-MICHEL;NON;NON;
Hors EP;0560199M;ST GEORGES;NON;NON;Dans QP
Hors EP;0672050P;-;NON;NON;
Hors EP;0673109R;CHARLES DE FOUCAULD;NON;NON;Dans QP
Hors EP;0672299K;INSTITUTION STE PHILOMENE;NON;NON;
Hors EP;0672305S;INSTITUTION STE CLOTILDE;NON;NON;Dans QP
Hors EP;0672602P;CHARLES DE FOUCAULD;NON;NON;Dans QP
Hors EP;0682079R;INSTITUTION SAINT JEAN;NON;NON;
Hors EP;0680154Y;INSTITUT SONNENBERG;NON;NON;
