Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Segpa,Lycee_Agricole,Lycee_militaire,code_nature,libelle_nature,Code_type_contrat_prive,etablissement_mere,type_rattachement_etablissement_mere,
0921778H,Collège Joliot-Curie,Collège,Public,0,0,0,,340,COLLEGE,0921168V,,
0783122V,Maison de la Légion d'Honneur,Collège,Public,0,0,0,,340,COLLEGE,,,
0920141D,Lycée polyvalent Frédéric et Irène Joliot Curie,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0921394R,,
0920680P,Lycée professionnel Léonard de Vinci,Lycée,Public,0,0,0,,320,LYCEE PROFESSIONNEL,0921168V,,
0920149M,Lycée Michelet,Lycée,Public,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0921240Y,,
0240014K,Collège Georges et Marie Bousquet,Collège,Public,0,0,0,,340,COLLEGE,0240014K,,
0640073G,Collège Reine Sancie,Collège,Public,0,0,0,,340,COLLEGE,0640073G,,
0730022C,Collège Béatrice de Savoie,Collège,Public,0,0,0,,340,COLLEGE,0730036T,,
0741757H,Collège du Chéran,Collège,Public,0,0,0,,340,COLLEGE,0741757H,,
0921782M,Collège Rabelais,Collège,Public,0,0,0,,340,COLLEGE,0920778W,,
0912251C,Lycée polyvalent Henri Poincaré,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0911335G,,
0921165S,Collège Henri Wallon,Collège,Public,0,0,0,,340,COLLEGE,0921240Y,,
0920689Z,Collège Jean Moulin,Collège,Public,0,0,0,,340,COLLEGE,0921592F,,
0783251K,Collège Anatole France,Collège,Public,0,0,0,,340,COLLEGE,0780185C,,
0951050A,Collège Pierre Curie,Collège,Public,0,0,0,,340,COLLEGE,0952128X,,
0951705M,Collège La Bussie,Collège,Public,0,0,0,,340,COLLEGE,0951636M,,
0911031B,Collège Denis Diderot,Collège,Public,0,0,0,,340,COLLEGE,0911031B,,
0920883K,Collège Claude-Nicolas Ledoux,Collège,Public,0,0,0,,340,COLLEGE,0920624D,,
0780254C,Collège François Mauriac,Collège,Public,0,0,0,,340,COLLEGE,0780262L,,
0920881H,Collège Henri Bergson,Collège,Public,0,0,0,,340,COLLEGE,0920757Y,,
9730020J,Collège Auxence Contout,Collège,Public,1,0,0,,340,COLLEGE,,,
6200063Z,Lycée polyvalent  Jean-Paul de Rocca Serra,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,6200697N,,
9760008E,Collège Bouéni-MTiti,Collège,Public,1,0,0,,340,COLLEGE,9760008E,,
9741387P,Collège Aimé Césaire,Collège,Public,0,0,0,,340,COLLEGE,9741387P,,
0060068S,Collège René Cassin,Collège,Public,0,0,0,,340,COLLEGE,0060068S,,
0133244F,Lycée polyvalent Marie-Madeleine Fourcade,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0131701D,,
0840110N,Lycée d'enseignement général et technologique François Pétrarque,Lycée,Public,1,1,1,0,,300,99,,
0132733A,Lycée polyvalent Antonin Artaud,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0132314V,,
0840021S,Lycée polyvalent Alphonse Benoît,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0841118J,,
0132411A,Collège Henri Bosco,Collège,Public,1,0,0,,340,COLLEGE,0132411A,,
0061738G,Collège Saint-Exupéry,Collège,Public,1,0,0,,340,COLLEGE,0061738G,,
0060076A,Collège Roustan,Collège,Public,0,0,0,,340,COLLEGE,0060076A,,
0830832D,Collège Marcel Rivière,Collège,Public,0,0,0,,340,COLLEGE,0830832D,,
0061668F,Collège les Jasmins - Sainte Marguerite,Collège,Public,1,0,0,,340,COLLEGE,0061668F,,
0060015J,Lycée professionnel Les Côteaux,Lycée,Public,0,0,0,,320,LYCEE PROFESSIONNEL,0061279H,,
0831453D,Lycée régional Anne-Sophie Pic,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0830069Z,,
0132410Z,Lycée polyvalent Maurice Genevoix,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0131607B,,
9730307W,Collège Concorde-Maurice Dumesnil,Collège,Public,1,0,0,,340,COLLEGE,,,
6200002H,Lycée Laetitia Bonaparte,Lycée,Public,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,6200002H,,
9760369X,Collège de Majicavo,Collège,Public,1,0,0,,340,COLLEGE,9760369X,,
0830834F,Collège André Léotard,Collège,Public,0,0,0,,340,COLLEGE,0830834F,,
0830032J,Lycée Thomas Edison,Lycée,Public,0,0,0,,306,LYCEE POLYVALENT,0830076G,,
0061134A,Collège Joseph Pagnol,Collège,Public,0,0,0,,340,COLLEGE,0061134A,,
0060038J,Lycée professionnel Vauban,Lycée,Public,0,0,0,,320,LYCEE PROFESSIONNEL,0060045S,,
0831645M,Collège Pierre Gassendi,Collège,Public,0,0,0,,340,COLLEGE,0830457W,,
0060032C,Collège Ségurane,Collège,Public,0,0,0,,340,COLLEGE,0060032C,,
9730193X,Collège Gran Man Difou,Collège,Public,1,0,0,,340,COLLEGE,9730193X,,
0750680G,Lycée Arago,Lycée,Public,0,0,0,,300,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0750680G,,
0752957G,Collège Georges Braque,Collège,Public,0,0,0,,340,COLLEGE,0750525N,,
