uai;type_etab;nom_etablissement;adresse;code_postal;commune;voie_generale;voie_techno;nbeleves;zone_ep
0670007U;Lycée;Lycée Adrien Zeller;4 place du château;67330;Bouxwiller;1.0;1.0;;
0180035R;Lycée;Lycée polyvalent Edouard Vaillant;41 bis rue Charles Hurvoy;18108;Vierzon;1.0;1.0;;
0260023J;Lycée;Lycée polyvalent du Dauphiné;38 boulevard Rémy Roure;26103;Romans-sur-Isère;1.0;1.0;;
0371208M;Collège;Collège privé Saint-Joseph;1 rue de Buffon;37502;Chinon;0.0;0.0;;
0380018N;Lycée;Lycée technologique privé Iser-Bordier;26 rue Prosper Mérimée;38100;Grenoble;0.0;1.0;;
0620120U;Lycée;Lycée général et technologique Anatole France;64 boulevard de Paris;62190;Lillers;1.0;1.0;;
0870581J;Lycée;Lycée agricole Les Vaseix;Les Vaseix;87430;Verneuil-sur-Vienne;1.0;1.0;;
0190083M;Lycée;Lycée polyvalent privé Bahuet;41 bis avenue Edmond Michelet;19316;Brive-la-Gaillarde;0.0;1.0;;
0870015U;Lycée;Lycée Gay-Lussac;12 boulevard Georges Perin;87031;Limoges;1.0;1.0;;
0330089T;Lycée;Lycée polyvalent Jean Monnet;40 avenue Henri Brulle;33505;Libourne;1.0;1.0;;
0641839B;Lycée;Lycée Jacques Monod;10 rue du Parvis;64238;Lescar;1.0;1.0;;
0640124M;Lycée;Lycée privé Saint-François;1 avenue de Belzunce;64130;Mauléon-Licharre;1.0;0.0;;
0332832Z;Lycée;Lycée polyvalent les Iris;13 rue Saint-Cricq;33305;Lormont;1.0;1.0;;
0542293Z;Lycée;Lycée des métiers d'art et de la maîtrise de l'énergie électrique Boutet-de-Monvel;4 rue Boutet-de-Monvel;54300;Lunéville;1.0;1.0;;
0021871Y;Lycée;Lycée Saint-Joseph;2 chaussée de Fontaine;2140;Fontaine-lès-Vervins;1.0;1.0;;
0900029T;Lycée;Lycée général et technologique privé Notre-Dame des Anges;46 faubourg de Montbéliard;90000;Belfort;1.0;1.0;;
0671618V;Lycée;Lycée privé Séminaire de jeunes;60 Grand'Rue;67360;Walbourg;1.0;0.0;;
0910626L;Lycée;Lycée Blaise Pascal;18 rue Alexander Fleming;91401;Orsay;1.0;0.0;;
0210018F;Lycée;Lycée polyvalent Hippolyte Fontaine;20 boulevard Voltaire;21033;Dijon;1.0;1.0;;
0410018X;Lycée;Lycée agricole Agro Campus des 2 vallées;Rue de la Vallée-du-Loir Areines;41106;Vendôme;1.0;1.0;;
0441653H;Lycée;Lycée polyvalent Saint-Joseph La Joliverie;141 route de Clisson;44232;Saint-Sébastien-sur-Loire;1.0;1.0;;
0623981R;Lycée;Lycée polyvalent Vauban;1 rue de Bretagne;62120;Aire-sur-la-Lys;1.0;1.0;;
0251064W;Collège;Collège privé Saint-Joseph;20 rue du Couvent;25210;Les Fontenelles;0.0;0.0;;
0781591F;Collège;Collège privé Notre-Dame;14 avenue Blanche de Castille;78300;Poissy;0.0;0.0;;
0572815A;Collège;Collège Erckmann-Chatrian;13 rue de l'Arsenal;57372;Phalsbourg;0.0;0.0;;
0440029T;Lycée;Lycée Livet;16 rue Dufour;44042;Nantes;1.0;1.0;;
0900002N;Lycée;Lycée général et technologique Condorcet;13 avenue Roosevelt;90016;Belfort;1.0;1.0;;
0331591A;Lycée;Lycée privé Bel-Orme;67 rue de Bel Orme;33000;Bordeaux;0.0;1.0;;
0011150V;Collège;Collège Lamartine;41 rue Georges Girerd;1300;Belley;0.0;0.0;;
0741418P;Lycée;Lycée général et technologique Baudelaire;9 rue du Capitaine Anjot;74991;Annecy;1.0;1.0;;
